link,had_collected
https://www.youtube.com/watch?v=0e3GPea1Tyg,0
https://www.youtube.com/watch?v=cV2gBU6hKfY,0
https://www.youtube.com/watch?v=qIsgdOVGA04,0
https://www.youtube.com/watch?v=cExLQ1o2pDw,0
https://www.youtube.com/watch?v=uocETPj4Jx4,0
https://www.youtube.com/watch?v=hxwpkM5w3Cc,0
https://www.youtube.com/watch?v=urtFrxDUV6c,0
https://www.youtube.com/watch?v=NZlClr_ivb4,0
https://www.youtube.com/watch?v=E6E22XQPhhg,0
https://www.youtube.com/watch?v=WcwGleN38zE,0
https://www.youtube.com/watch?v=fMfipiV_17o,0
https://www.youtube.com/watch?v=ayXxwJJId_c,0
https://www.youtube.com/watch?v=9bqk6ZUsKyA,0
https://www.youtube.com/watch?v=DuQbOQwVaNE,0
https://www.youtube.com/watch?v=vJH28ICkCdU,0
https://www.youtube.com/watch?v=_uwNDiU04zE,0
https://www.youtube.com/watch?v=C680oxL__ck,0
https://www.youtube.com/watch?v=5Fg9oZk-5uA,0
https://www.youtube.com/watch?v=PKtnafFtfEo,0
https://www.youtube.com/watch?v=f0c7pSCoZqE,0
https://www.youtube.com/watch?v=dg2Ag3e8W-Q,0
https://www.youtube.com/watch?v=LeYsRMZFUq0,0
https://www.youtube.com/watch?v=Dc2ZRmuH5OM,0
https://www.youtube.com/watch?v=GLoeAJUcz38,0
https://www.youtube.com/watch?v=SZQhgExjBvQ,0
https://www.youtube.com/watch?v=IoZri9hq7z4,0
https://www.youtube.com/watch?v=vp5sSqyZ5Go,0
https://www.youtube.com/watch?v=AKJfakEsgy0,0
https://www.youtube.com/watch?v=Vl3swga-Xrk,0
https://www.youtube.com/watch?v=UE5AHE2Ypr8,0
https://www.youtube.com/watch?v=TDiXxsQ0w2Q,0
https://www.youtube.com/watch?v=oD155zWANQg,0
https://www.youtube.com/watch?v=s1ax8Tx_Jz0,0
https://www.youtube.com/watch?v=NkE0AMGzpJY,0
https://www.youtube.com/watch?v=FbM1yi4mMMc,0
https://www.youtube.com/watch?v=5V2B28OqfqM,0
https://www.youtube.com/watch?v=Rj_vssRaZlQ,0
https://www.youtube.com/watch?v=YQDDm9HLkV4,0
https://www.youtube.com/watch?v=erQ_9yEz0ls,0
https://www.youtube.com/watch?v=OAbP-V6fEVc,0
https://www.youtube.com/watch?v=_qAJMXfL6o0,0
https://www.youtube.com/watch?v=59AYXzCa-Cs,0
https://www.youtube.com/watch?v=r7zJ8srwwjk,0
https://www.youtube.com/watch?v=YSoJPA8-oHc,0
https://www.youtube.com/watch?v=5Hg_QSIJm8I,0
https://www.youtube.com/watch?v=gsWPpE4Rid0,0
https://www.youtube.com/watch?v=HBMmK1c44sE,0
https://www.youtube.com/watch?v=oBYbxw8f5OI,0
https://www.youtube.com/watch?v=AiGKBNGlzHo,0
https://www.youtube.com/watch?v=_mdKvblL_8s,0
https://www.youtube.com/watch?v=yXWw0_UfSFg,0
https://www.youtube.com/watch?v=F4Y3Pkn95GI,0
https://www.youtube.com/watch?v=KSKJKLmAqpI,0
https://www.youtube.com/watch?v=IYVjOfoU3uI,0
https://www.youtube.com/watch?v=oI6aXhowFDY,0
https://www.youtube.com/watch?v=LdMx2U5tby0,0
https://www.youtube.com/watch?v=fY-LA3YaZ_M,0
https://www.youtube.com/watch?v=0hVZOJCYBBM,0
https://www.youtube.com/watch?v=Z9WQy9jEY8M,0
https://www.youtube.com/watch?v=bs0SWXbty18,0
https://www.youtube.com/watch?v=yeqARWqjkps,0
https://www.youtube.com/watch?v=wMuYiLby3-s,0
https://www.youtube.com/watch?v=NbaWrbJDr48,0
https://www.youtube.com/watch?v=sfv1QaRzJg8,0
https://www.youtube.com/watch?v=RwnN2FVaHmw,0
https://www.youtube.com/watch?v=X1jMMFOqxEw,0
https://www.youtube.com/watch?v=ORUX1lHbOa8,0
https://www.youtube.com/watch?v=LU_xVr4b2qM,0
https://www.youtube.com/watch?v=tQ4m4zD7BBA,0
https://www.youtube.com/watch?v=D9lVNzyhYnc,0
https://www.youtube.com/watch?v=jokVbbLqV_E,0
https://www.youtube.com/watch?v=HPJKxAhLw5I,0
https://www.youtube.com/watch?v=Ims5p6wjW9s,0
https://www.youtube.com/watch?v=anFxsa5jXrE,0
https://www.youtube.com/watch?v=QxGVgXf_LNk,0
https://www.youtube.com/watch?v=al6130OD1Ck,0
https://www.youtube.com/watch?v=d1010B3sKNQ,0
https://www.youtube.com/watch?v=NS3hse9ezik,0
https://www.youtube.com/watch?v=npDey6_9YRs,0
https://www.youtube.com/watch?v=0NGWT9COcEI,0
https://www.youtube.com/watch?v=3LLnjRLrvLU,0
https://www.youtube.com/watch?v=bTrV5v7GLcQ,0
